Ticker,Name,R&D Exp:CY,CAPEX:CY,Tot Assets:CY,Debt/Assets:CY,Curr Ratio:CY,EBIT:CY,ROA:CY,AZS
BLN CN Equity,BLACKLINE SAFETY CORP,18513000,-7355000,109120000,2.2856,1.7245,-26487000,-23.5273,1.6042
BCDS US Equity,BLAQCLOUDS INC, ,-500000,38444096,0,4.7429,-1194638,-6.2082,146.4168
BLND US Equity,BLEND LABS INC-A,81591000,-587000,206064992,72.6446,5.379,-156222000,-55.9439,1.5723
BITE CN Equity,BLENDER BITES LTD,201933,-511208,4547447,0,1.8183,-8553781,-269.2987,-10.5218
BITK CN Equity,BLOCKCHAINK2 CORP,0,0,1161747,41.3365,0.0724,-336018,-25.1362,-126.5727
BDRL US Equity,BLONDER TONGUE LABORATORIES,1258000,-641000,11345000,81.6836,0.7476,-1258000,-16.0683,-3.7165
BLMZ US Equity,BLOOMZ INC, , , , , , , , 
BKSD US Equity,BLUEPRINT TECHNOLOGIES INC, , , , , , , , 
BMTX US Equity,BM TECHNOLOGIES INC,27775000,-292000,54640000,0,1.2474,-19980000,-27.5804,-1.9264
BMIT MV Equity,BMIT TECHNOLOGIES PLC, ,-1223000,80651000,62.7977,0.9326,7998000,8.8938,2.7005
BWLK CN Equity,BOARDWALKTECH SOFTWARE CORP,0,-8255.6963,5098785,24.7266,1.1911,-3952647.25,-82.991,-47.7948
BOKU LN Equity,BOKU INC-REG S,0,-434000,376811008,0.81,1.2749,9716000,3.0207,1.9604
BAH US Equity,BOOZ ALLEN HAMILTON HOLDINGS,0,-66699000,6563687936,55.413,1.6186,1013403008,9.2373,7.6138
BOREF US Equity,BOREALIS EXPLORATION LTD,0,-2577164,7518831,0,0.1755,-2293439,-32.3915, 
BRRN US Equity,BORN INC, , , , , , , , 
BOUV NO Equity,BOUVET ASA,0,-28907000,1715753984,18.7012,1.2253,406992992,20.5918, 
BOMO US Equity,BOWMO INC, , , , , , , , 
BOX US Equity,BOX INC - CLASS A,248767008,-1843000,1241163008,39.624,1.2398,50753000,10.5404,2.1865
BOXL US Equity,BOXLIGHT CORP - CLASS A,3155000,-1321000,158571008,31.0776,2.1712,-26300000,-22.1242,-0.1915
BRAG CN Equity,BRAGG GAMING GROUP INC, ,-332000,103367000,3.1703,1.0427,-777000,-3.6928,1.4896
BRAINP DC Equity,BRAIN+ A/S, ,0,35969780,0.2222,1.0274,-17506830,-47.0233,-8.4948
BNAI US Equity,BRAND ENGAGEMENT NETWORK INC, ,0,22101750,0,0.0056,-2809965,-4.0917,-6.1306
BVTK US Equity,BRAVATEK SOLUTIONS INC,40335,0,124647,1802.3964,0.0127,-3185951,-9391.2871, 
BRZE US Equity,BRAZE INC-A,119863000,-13335000,810940992,11.1737,2.0768,-144692000,-17.0365,4.6746
BLIN US Equity,BRIDGELINE DIGITAL INC,4160000,-29000,15602000,4.4161,0.6233,-2019000,-11.8015,-36.4077
BCOV US Equity,BRIGHTCOVE,37202000,-3120000,216107008,10.108,0.6728,-21641000,-10.3109,-0.9382
BTSR US Equity,BRIGHTSTAR INFORMATION TECH,0,0,601000,234.4426,0.9525,-233000,-67.2742,-52.654
BRILL SS Equity,BRILLIANT FUTURE AB, ,-46000,90155000,0,0.9066,-11591000,-12.5549, 
BRIX SS Equity,BRIOX AB, , ,51183000,0.0176,1.507,-24561000,-40.8122,-8.3318
AVGO US Equity,BROADCOM INC,9310000128,-548000000,165644992512,41.6046,1.1736,13463000064,4.9433,8.5067
ALBPK FP Equity,BROADPEAK, ,-10219000,50842000,23.0243,1.7802,-8452000,-8.3214,0.8317
BRKO US Equity,BROKE OUT INC,0,-18249,38514,0,0.302,-73704, ,647.8135
BRQL US Equity,BROOQLY INC, ,0,201282,27.3248,0.1086,-314302,-210.4618, 
BTQ CN Equity,BTQ TECHNOLOGIES CORP,0,0,7268194,0,15.4988,-1155763,-28.7041,19.0823
BZWR US Equity,BUSINESS WARRIOR CORP,0,-6000,244000,0,1.4762,-33000, , 
BYIT LN Equity,BYTES TECHNOLOGY GROUP PLC,0,-1334000,379718016,0.4574,1.0824,56712000,13.3767,4.2501
CMI CN Equity,C-COM SATELLITE SYSTEMS INC,1330188,-124177,26625004,0,29.6182,1529990,6.2544,13.2978
AI US Equity,C3.AI INC-A,201364992,-25256000,1038225024,5.6659,8.8376,-318342016,-26.1245,8.8078
ALCAB FP Equity,CABASSE SA, , ,10706722,68.8587,2.1482,-1205789,-10.9475,0.9813
CACI US Equity,CACI INTERNATIONAL INC -CL A,0,-63686000,6796101120,28.2354,1.2748,649708032,6.269,8.6775
CDNS US Equity,CADENCE DESIGN SYS INC,1441795968,-102337000,5669491200,14.217,1.2422,1251224960,19.2687,12.888
CSOC US Equity,CADUCEUS SOFTWARE SYSTEMS CO, ,0,9173,0,0.1213,-145532,-92301.6406, 
CAG SS Equity,CAG GROUP AB, ,-4205000,587665984,16.5019,1.4346,73557000,9.1124,6.6932
CNO CN Equity,CALIFORNIA NANOTECHNOLOGIES,0,-14302,2358153,9.6845,1.9384,635256,22.486,4.7018
CALX US Equity,CALIX INC,177772000,-17855000,941865024,1.2277,3.1867,25585000,3.2107,10.6028
CLX LN Equity,CALNEX SOLUTIONS PLC, ,-5709000,37000000,5.2027,4.1493,-617000,0.1056,5.7586
CBEX US Equity,CAMBEX CORP,870881,0,340054,192.5115,0.1089,306375,171.4279,-123.65
CMBM US Equity,CAMBIUM NETWORKS CORP,53478000,-4589000,217875008,15.2555,1.6877,-60854000,-31.7727,-1.0534
CANATU FH Equity,CANATU PLC, ,0,103991600,95.9943,1.0379,-1429225.625,1.3793, 
COK GR Equity,CANCOM SE,4287000,-25786000,1548475008,16.5108,1.5207,55782000,2.5811,2.7716
WPR CN Equity,CANPR TECHNOLOGY LTD, ,-12489,4310368,4.6442,3.5024,-1065119,-45.6589, 
CTLP US Equity,CANTALOUPE INC,3000000,-14935000,335568000,14.1035,1.4901,14169000,3.8367,2.4565
CAP FP Equity,CAPGEMINI SE,0,-259000000,24700000256,26.7004,1.3442,2345999872,6.6283,4.665
CAPC US Equity,CAPSTONE COMPANIES INC,101409,-42970,1423608,178.4533,0.0204,-1634854,-102.4169,-343.8335
CARA SS Equity,CARASENT AB, ,-69537600,1085262976,4.5874,4.6935,-77896824,-3.7691, 
AUTO CN Equity,CARBEEZA INC,28876,-8428,246039,976.5842,0.0725,-622742,-304.3846, 
CBRJ US Equity,CARBON RACE CORP,0,-3000,0, ,0,0, ,-1834.7706
EKG CN Equity,CARDIOCOMM SOLUTIONS INC,0,-2024,341997,143.072,0.3234,-207533,-31.3086,-147.2982
CXCQ US Equity,CARDXX INC, , , , , , , , 
CRBK CN Equity,CAREBOOK TECHNOLOGIES INC,6934000,-6000,7685000,101.4964,0.277,-2535000,-39.1358,-29.4437
CCLD US Equity,CARECLOUD INC,4736000,-3063000,77826000,18.9307,0.9976,-47115000,-45.4897,-2.4819
CSPN CN Equity,CARESPAN HEALTH INC,0,0,298855.9063,0,0.0901,-2574266,-139.1668,-97.5114
CRVW US Equity,CAREVIEW COMMUNICATIONS INC,2502924,-16791,4262258,493.3367,0.0732,-688302,-96.2815,-91.5446
CRSM US Equity,CARSMARTT INC, , , , , , , , 
CTM US Equity,CASTELLUM INC, ,-18271,30107276,39.7196,1.1904,-16668825,-56.374,-4.1193
CTAI LN Equity,CATENAI PLC, , ,18477,708.9896,0.0409,-261318, ,-73.4323
CBIT CN Equity,CATHEDRA BITCOIN INC,0,-52668,18857876,38.9841,1.0456,-5610059,-24.5673,0.9168
CBRAIN DC Equity,CBRAIN A/S, ,-703000,340856992,14.8781,1.2501,85405000,19.0424,28.1624
CCCS US Equity,CCC INTELLIGENT SOLUTIONS HO,173106000,-55032000,3051040000,27.4054,2.289,-23925000,-2.889,3.6305
CCUR US Equity,CCUR HOLDINGS INC,0,-23000,69850000,0,14.9986,-1491000,18.4849,-1.5133
CDW US Equity,CDW CORP/DE,0,-148200000,13284599808,43.9825,1.2321,1680899968,8.3608,4.6236
CEOS US Equity,CECORS INC, ,-69481,2258344,51.2355,5.6185,-8761623,-183.8837, 
CGM FP Equity,CEGEDIM SA,555000000,-21952000,924067968,30.8529,1.0188,18226000,-0.8167,2.0315
CLBS LN Equity,CELEBRUS TECHNOLOGIES PLC,2153000,-435000,58742000,1.8317,1.6582,4416000,8.2001,8.6088
CLTY US Equity,CELERITY SOLUTIONS INC, , , , , , , , 
CLS CN Equity,CELESTICA INC,60900000,-125100000,5890699776,13.2887,1.4016,383200000,4.247,3.13
CELL IM Equity,CELLULARLINE SPA,1247000,-4893000,233407008,16.182,1.6828,4876000,1.6019,2.3065
CSH GR Equity,CENIT AG,10081000,-1382000,153615008,32.7344,1.502,9394000,3.2033,3.6973
CTNK GR Equity,CENTROTHERM INTERNATIONAL AG,12603000,-2789000,316268000,3.196,1.2409,15045000,6.6527,0.7579
CEK GR Equity,CEOTRONICS AG,4329000,-782000,43820000,41.9124,6.6706,2606000,3.416,3.1448
CRNC US Equity,CERENCE INC,121563000,-4996000,702358016,42.0351,1.2246,-579936000,-58.8093,-6.8284
CER LN Equity,CERILLION PLC,673000,-207000,63102000,4.4357,4.1342,18412000,26.3377,25.2223
CBP CN Equity,CERTIVE SOLUTIONS INC,0,0,649557,1230.871,0.0391,-1916900.875,-309.7246,-199.7826
CEVA US Equity,CEVA INC,72689000,-2884000,304084992,2.1231,7.7871,-13467000,-3.8784,9.9999
GIB/A CN Equity,CGI INC, ,-109733000,16685467648,19.8281,1.3573,2319493120,10.4215,8.14
CHMP US Equity,CHAMPION INDUSTRIES INC/WV,0,-1703007,22926526,57.812,1.1491,-211284,-5.0766,0.316
CCA AU Equity,CHANGE FINANCIAL LTD,0,-41408,12944240,1.2124,0.9002,-2360810,-18.1958,-8.3519
CHARGE SS Equity,CHARGEPANEL AB (PUBL),0, ,6481000,0,0.6056,-15078000,-148.253, 
CHECK SS Equity,CHECKIN.COM GROUP AB, ,-16000,241944992,7.0214,2.5794,4244000,1.4207,13.1128
CKT LN Equity,CHECKIT PLC,1900000,-100000,23100000,1.2987,2.1625,-5100000,-17.8218,-0.0267
MLCHE FP Equity,CHEOPS TECHNOLOGY, , ,28648408, ,1.4475,2801596,6.3927, 
C3RY GR Equity,CHERRY SE,15749000,-3085000,238554000,27.5669,1.5833,-132610000,-41.0871,-2.6038
CLAD US Equity,CHINA LIAONING DINGXU ECOLOG, , , , , , , , 
CMNT US Equity,CHINA MULANS NANO TECHNOLOGY, , , , , , , , 
MLTV BB Equity,CHOICE NV, ,-50000,67839000,0,1.3913,-1762000, ,9.8914
CNCN US Equity,CHUN CAN CAPITAL GROUP,0,0,0, , ,0, , 
ALCBX FP Equity,CIBOX INTER@CTIVE, ,-44000,8365000,35.0747,2.0217,-1995000,-26.4776,0.3041
CIEN US Equity,CIENA CORP,767497024,-136640992,5641336832,28.9338,3.545,166616992,1.4935,2.5358
CINT SS Equity,CINT GROUP AB,37194000,-540000,625934976,17.7557,1.6198,-448676000,-50.3204,-11.4618
CRTA LN Equity,CIRATA PLC, ,-76000,23114000,3.4395,3.7752,-32424000,-149.7711,-8.8867
CIRC IM Equity,CIRCLE SPA, ,-52651,15933179,2.6712,2.5994,2046802,9.1694,4.7119
CRLI US Equity,CIRCUIT RESEARCH LABS INC,1945541,-21431,10828743,48.7906,1.0214,158137,0.9953,1.5571
CA1 GR Equity,CIRCUS SE, ,-376914,22784476,3.8758,2.3513,-4797746, ,-0.2063
CRUS US Equity,CIRRUS LOGIC INC,426475008,-38345000,2231576064,6.9554,5.9347,343465984,12.784,11.4676
CSCO US Equity,CISCO SYSTEMS INC,7983000064,-670000000,124413001728,25.9073,0.9083,12181000192,9.122,3.2269
CISO US Equity,CISO GLOBAL INC, ,-213629,51655384,27.6949,0.4203,-77771704,-102.7601,-67.5162
CNWT US Equity,CISTERA NETWORKS INC, ,-2847,2047129,38.758,0.0989,-71857,-15.2901,-65.1329
CLTE CN Equity,CLARA TECHNOLOGIES CORP, ,0,421161,0,14.6124,-119636,-20.7382, 
CLA FP Equity,CLARANOVA SE, ,-1400000,228500000,66.3457,0.7482,30900000,-4.5445,5.1353
CLAV SS Equity,CLAVISTER AB,0,-722000,299360992,104.6446,0.3712,-28619000,-22.1333, 
CTEK CN Equity,CLEANTEK INDUSTRIES INC,9000,-1110000,15263000,64.6138,0.5364,764000,-11.6934,-6.9551
CFA/H CN Equity,CLEAR GOLD RESOURCES INC, , , , , , , , 
YOU US Equity,CLEAR SECURE INC -CLASS A,74444000,-26135000,1045009024,12.1896,1.3949,20138000,2.6994,5.8338
CLFD US Equity,CLEARFIELD INC,0,-9567000,315275008,5.8222,9.4282,-23222000,-3.7129,10.0633
CLRO US Equity,CLEARONE INC,3671000,-375000,50694000,2.0673,10.1564,-6772000,-0.8331,1.6674
CSYS US Equity,CLEARSTORY SYSTEMS INC,2679000,-757000,6905000,3.2875,0.3729,-998000,-18.6347,-27.3032
CLRI US Equity,CLEARTRONIC INC, , , , , , , , 
CWAN US Equity,CLEARWATER ANALYTICS HDS-A,123925000,-5624000,558742976,12.8998,5.149,-16745000,-4.1563,23.2804
CLIS US Equity,CLICKSTREAM CORP, , , , , , , , 
CDX/H CN Equity,CLOUD DX INC,192994,0,2041518,710.6265,0.0565,-7735010,-475.8766,-67.707
CLCO LN Equity,CLOUDCOCO GROUP PLC,0,-346000,18845000,37.2406,0.5678,-1757000,-10.6218,-4.0578
NET US Equity,CLOUDFLARE INC - CLASS A,358143008,-134942000,2759767040,52.0045,3.497,-185484992,-6.8796,8.4303
AGAIN IM Equity,CLOUDIA RESEARCH SPA,0,-1960373,7827148,33.946,1.897,762050,11.4956,2.8553
CHL LN Equity,CLOUDIFIED HOLDINGS LIMITED,0,-48209,5523578,0,1.4846,-1195191,-36.9046,-1.9175
CLHI US Equity,CLST HOLDINGS INC, ,0,52362000,65.2401,0.2939,-9383000,-9.5222,-6.3606
CMCOM NA Equity,CM.COM, ,-1865000,240116992,47.6834,0.9946,-24568000,-10.9381,0.8241
CML LN Equity,CML MICROSYSTEMS PLC, ,-1524000,69113000,1.2386,3.6266,1943000,3.1795,4.453
CMEY US Equity,CMONEY INC, , , , , , , , 
CBRI US Equity,CMTSU LIQUIDATION INC,0,-12158000,502271008,6.5064,1.96,11751000,0.6373,-0.0653
CDRBQ US Equity,CODE REBEL CORP,0,-18185,12069365,0,4.8179,-3504524,-56.4105,32.2988
CODE NO Equity,CODELAB CAPITAL AS,0,-37305532,138101552,0,13.7332,51720244,5.7064, 
CDMIL SS Equity,CODEMILL AB,8424000,-38000,81185000,6.075,1.1068,-2431000,-3.2721,6.6039
ALLEC FP Equity,COGELEC, ,-4201000,88909000,27.4787,2.3037,4784000,5.1635,2.2067
8HC GR Equity,COGIA AG, , ,14123000,0.3682,0.097,-993000,-7.3955, 
CTSH US Equity,COGNIZANT TECH SOLUTIONS-A, ,-317000000,18482999296,7.2445,2.252,2688999936,11.7022,8.7735
COHR US Equity,COHERENT CORP,478800000,-346816000,14488634368,29.7002,2.7238,96121000,-1.1075,2.6914
COH FP Equity,COHERIS SA,2843000,-1689000,38072000,16.1904,1.4858,2649000,8.3411,2.6679
COHU US Equity,COHU INC,88600000,-16053000,1150352000,5.1232,6.1769,43272000,2.3683,6.7217
CLXS US Equity,COLLEXIS HOLDINGS INC, , , , , , , , 
COLUM DC Equity,COLUMBUS A/S,0,-7888000,1297851008,18.262,1.1697,60088000,2.1669,6.4757
CGUD US Equity,COM-GUARD.COM INC, , , , , , , , 
CX SS Equity,COMBINEDX AB,0,-3300000,633299968,13.6744,1.5475,79700000,11.5228, 
CMPY US Equity,COMEPAY INC, , , , , , , , 
COTN SW Equity,COMET HOLDING AG-REG,60712000,-24450000,473577984,20.1686,3.4014,24978000,2.9869,11.7297
COMINT SS Equity,COMINTELLI AB, ,0,18997248,18.0874,1.1624,-7711204,-39.9925,4.1384
CBUIF US Equity,COMMODORE INTL LTD,19500000,-20300000,265799984,49.699,0.6436,-284500000,-78.1028, 
COMM US Equity,COMMSCOPE HOLDING CO INC,459700000,-53300000,9371899904,100.8867,2.0311,-112900000,-13.7805,-0.0684
CSYT US Equity,COMMUNICATION SYNERGY TECHNO, , , , , , , , 
CVLT US Equity,COMMVAULT SYSTEMS INC,132328000,-4086000,943913024,1.2808,1.2272,75355000,19.5664,5.5412
COMPDM SS Equity,COMPODIUM INTERNATIONAL AB, ,-38000,47976000,0.3064,1.0854,-19732000,-33.424,-3.1152
CHS CN Equity,COMPREHENSIVE HEALTHCARE SYS,396595,0,966880,118.3674,0.0683,-3332252, ,-7.1065
COP GR Equity,COMPUGROUP MEDICAL SE & CO K, ,-18973000,1899943040,40.6776,1.0663,122700000,2.3887, 
CCC LN Equity,COMPUTACENTER PLC,0,-21900000,3057999872,4.1727,1.2634,268800000,6.271,4.5281
CMG CN Equity,COMPUTER MODELLING GROUP LTD,23679000,-650000,172372992,21.4425,1.651,33984000,16.9686,7.645
COMS US Equity,COMSOVEREIGN HOLDING CORP,2354000,-165000,24918000,98.9967,0.4292,-69176000,-140.5291,-44.0339
CMTL US Equity,COMTECH TELECOMMUNICATIONS,24077000,-13083000,912433984,23.3072,1.8336,-79890000,-10.4769,1.5278
CNXC US Equity,CONCENTRIX CORP, ,-180532000,12491827200,46.3849,1.3783,661326976,3.2757,3.4371
CNC LN Equity,CONCURRENT TECHNOLOGIES PLC,1930389,-495973,47825600,0.6161,3.2022,3686634,9.6258,10.4008
CNDT US Equity,CONDUENT INC,7000000,-51000000,3161999872,47.5965,1.9067,-221000000,-8.7925,1.6228
CFLT US Equity,CONFLUENT INC-CLASS A,348752000,-20679000,2460808960,45.2532,4.6233,-478772992,-18.426,1.9881
YYAI US Equity,CONNEXA SPORTS TECHNOLOGIES,0,0,21622624,12.6433,1.632,-6443155,-108.8501,-9.6433
CNNN US Equity,CONNEXIONONE CORP, , , , , , , , 
CCSI US Equity,CONSENSUS CLOUD SOLUTION,7727000,-36461000,647254976,115.755,1.7546,147228992,12.0665,3.4739
MLCNT FP Equity,CONSORT NT, , ,29847720, , ,2958764,15.7104, 
CSU CN Equity,CONSTELLATION SOFTWARE INC,1215000064,-42000000,10899000320,17.965,0.6087,1065000000,6.0167,7.5257
CNS CN Equity,CONTAGIOUS GAMING INC,0,0,8401,3571.0034,0.0052,167863,638.7919,-8039.205
CONTX NO Equity,CONTEXTVISION AB,110000,-703000,103158000,5.0224,3.7075,40036000,32.5829, 
CTS CN Equity,CONVERGE TECHNOLOGY SOLUTION, ,-10828000,2153361920,17.6315,1.0443,18298000,-0.0658,1.5782
CRDL LN Equity,CORDEL GROUP PLC,140705,-145172,4137069,3.5963,1.7566,-119344,-28.9965,-0.061
CCRD US Equity,CORECARD CORP,8478000,-5245000,63826000,3.3576,4.6634,5311000,5.344,9.2864
CNS LN Equity,CORERO NETWORK SECURITY PLC, ,-812000,28436000,1.1078,1.5108,-16000,-0.6152,-0.4753
CRTG US Equity,CORETEC GROUP INC/THE, , , , , , , , 
GLW US Equity,CORNING INC,1076000000,-1390000000,28500000768,29.7684,1.6698,890000000,2.0035,2.9472
CGLO US Equity,CORO GLOBAL INC,1084705,-2513,987764,0,1.4256,-5353401,-748.2664,-45.5941
CRSR US Equity,CORSAIR GAMING INC,65261000,-12761000,1357463040,18.1592,1.7004,9689000,0.2401,2.748
BASE US Equity,COUCHBASE INC,64069000,-4710000,247752000,2.1336,1.9935,-84537000,-32.0225,2.0165
CVO CN Equity,COVEO SOLUTIONS INC-SUB VTG,35804000,-1098000,275884992,2.4956,2.4253,-29699000,-8.0759,-0.9184
CPU2 GR Equity,CPU SOFTWAREHOUSE AG, ,-1118000,3484890.25,0,2.8073,77762.4219,1.4817,4.3728
CXT US Equity,CRANE NXT CO, ,-31100000,2129400064,32.6242,1.927,286800000,5.7764,4.2762
CRW LN Equity,CRANEWARE PLC, ,-1191000,543654976,7.3846,0.6267,19734000,2.0886,5.1825
CRAYN NO Equity,CRAYON GROUP HOLDING AS, ,-153000000,16544000000,15.7519,1.0017,442000000,-0.733,1.3713
CNANO NO Equity,CRAYONANO AS, ,-9853070,184373952,8.8346,1.6104,-78876808,-46.8362, 
CREG IM Equity,CREACTIVES GROUP SPA,0,-6759,8929244,21.3569,0.7405,-883590,-12.2585,1.7288
CLXN SW Equity,CREALOGIX HOLDING AG-REG,0,-306000,78265000,38.799,0.8389,2437000,0.0271,1.4997
CRTD US Equity,CREATD INC,951414,-622618,4819749,196.2305,0.0973,-29031112,-461.563,-141.3447
CREX US Equity,CREATIVE REALITIES INC,1574000,-306000,70777000,20.5717,0.9214,1346000,-4.2941,-0.587
CRDO US Equity,CREDO TECHNOLOGY GROUP HOLDI,95531000,-15652000,601932032,2.3047,11.884,-37058000,-5.6782,58.1855
OPTI BB Equity,CRESCENT,1607000,-128000,22622000,14.844,0.8131,-7095000,-27.2323,-0.7116
CXDO US Equity,CREXENDO INC,4860000,-92000,56160000,3.8925,1.6851,-1689000,-0.6476,4.4872
CRCT US Equity,CRICUT INC - CLASS A,65048000,-23717000,750121984,2.1736,3.1556,69985000,6.311,8.5111
CRWD US Equity,CROWDSTRIKE HOLDINGS INC - A,768497024,-225986000,6646519808,11.9292,1.7637,-1995000,1.5305,10.1408
CFISH SS Equity,CRUNCHFISH AB,16473949,-1232856,61515064,2.3044,4.0824,-49391212,-77.0338, 
LAW US Equity,CS DISCO INC,51623000,-4859000,231547008,3.9564,8.3199,-49845000,-17.2792,6.6386
CSPI US Equity,CSP INC,2956000,-196000,69436000,6.7227,2.9359,-1872000,-0.4818,5.372
CTAC NA Equity,CTAC NV, ,-1269000,71305000,14.8082,0.9648,4073000,1.2949,4.0089
CTS US Equity,CTS CORP,24918000,-14738000,741166976,13.0684,3.2909,75051000,8.127,7.8029
CXAI US Equity,CXAPP INC,5309000,-57000,36581000,1.3805,0.8752,-48208000,-241.7608, 
CY4 IM Equity,CY4GATE SPA, ,-3822713,178847776,18.2149,2.2343,-7473646,-6.5651, 
CYR GR Equity,CYAN AG,74000,-706000,43719000,4.9704,1.4934,-7034000,-32.4413,-1.546
CYAN LN Equity,CYANCONNODE HOLDINGS PLC,1555000,-224000,23120000,2.0502,1.5025,-4204000,-17.5825,-2.1397
CYBT CN Equity,CYBEATS TECHNOLOGIES CORP, , , , , , , , 
CYBD US Equity,CYBER DIGITAL INC,32499.998,-3333,3119407,89.5936,0.2431,-1382850,-101.4609,-73.3699
CYPJ US Equity,CYBER OPERATIONS INC, , , , , , , , 
CYB1 SS Equity,CYBER SECURITY 1 AB,0,0,27057000,2.1436,0.99,211000,-9.3068,1.1917
CYBE CN Equity,CYBERCATCH HOLDINGS INC, , , , , , , , 
CYRD US Equity,CYBERECORD INC, , , , , , , , 
CYBF US Equity,CYBERFORT SOFTWARE INC,0,0,0, ,0,-581047, , 
CKYS US Equity,CYBERKEY SOLUTIONS INC, , , , , , , , 
CLOQ US Equity,CYBERLOQ TECHNOLOGIES INC, , , , , , , , 
CYB IM Equity,CYBEROO SPA, ,-895246,35896768,15.1154,2.2049,6076383,12.6441,7.2335
CYIO US Equity,CYIOS CORP, ,0,461166,7.1402,3.2604,68078,24.1424,-83.463
CYK LN Equity,CYKEL AI PLC,0,0,15216,0,0.0445,-391758,4.7724,24.324
CYN US Equity,CYNGN INC,12719983,-1045822,13033356,7.6731,4.5511,-23345942,-118.3819,-43.1415
CYVIZ NO Equity,CYVIZ AS,21554000,-27527000,275126016,12.157,1.2354,4591000,1.3818,3.7189
DBO CN Equity,D-BOX TECHNOLOGIES INC,3942000,-538000,20936000,11.8456,2.4644,1727000,4.5869,0.8626
QBTS US Equity,D-WAVE QUANTUM INC,37878000,-583000,59356000,16.9014,4.1819,-80546000,-191.6851,-18.0908
DTOL CN Equity,D2L INC,48320128,-5727243,197123952,6.4477,1.2519,-7112280,-1.8955,0.5353
DGIF US Equity,D7 ENTERPRISES INC, , , , , , , , 
DJCO US Equity,DAILY JOURNAL CORP,0,-49000,403763008,7.0883,10.2618,4070000,20.5934,5.4735
DAKT US Equity,DAKTRONICS INC,35742000,-16980000,527884000,11.121,2.0903,87115000,6.9521,4.0781
MLDAM FP Equity,DAMARIS, , , , , , , , 
DVN CN Equity,DANAVATION TECHNOLOGIES CORP, ,-3533,2823651,195.8197,0.2467,-3741707,-145.1487,-13.0473
DANTB DC Equity,DANTAX A/S-B SHS,0,0,92313000,2.056,7.552,1502000,15.374,8.6987
DRIO US Equity,DARIOHEALTH CORP,20248000,-584000,96389000,30.6477,3.7885,-56189000,-55.1322,-21.1594
DPLS US Equity,DARKPULSE INC,0,-102350,4112352,111.4504,0.0502,-20919304,-159.2328,-35.1077
DSY FP Equity,DASSAULT SYSTEMES SE,1228300032,-145300000,14622400512,24.6259,1.6232,1241900032,7.2768,7.3222
DCM CN Equity,DATA COMMUNICATIONS MANAGEME,0,-4222000,418753984,61.4036,1.5537,-6666000,-5.5801,0.973
DTEV US Equity,DATA EVOLUTION HOLDINGS INC, , , , , , , , 
DAIO US Equity,DATA I/O CORP,6524000,-1195000,27401000,5.4743,3.9775,448000,1.7813,3.8439
DAM GR Equity,DATA MODUL AG,7152000,-8952000,219215008,12.4563,3.4033,22296000,6.5664,3.9027
DTST US Equity,DATA STORAGE CORP, ,-1545017,23301020,2.4185,4.1383,-168411,1.6105,4.9948
ATDS US Equity,DATA443 RISK MITIGATION INC,0,-185523,7453623,115.0151,0.0307,-2784459,-72.9526,-32.5983
DAC/H CN Equity,DATABLE TECHNOLOGY CORP,1827444,0,892022,16.9454,0.2249,-3815739,-269.046,-76.244
DDOG US Equity,DATADOG INC - CLASS A,962446976,-62406000,3936071936,22.9248,3.1685,-33464000,1.3995,12.9058
D6H GR Equity,DATAGROUP SE,0,-11432974,465286816,34.9161,0.8735,45317624,5.919,3.3387
DLE ID Equity,DATALEX PLC,0,-16000,19896000,87.2386,0.4587,-6945000,-50.6656,-10.205
DLGI US Equity,DATALOGIC INTERNATIONAL INC, ,-444833,5591108,27.9335,0.8417,-356014,-8.7894,1.6108
DAL IM Equity,DATALOGIC SPA,67435000,-8154000,719502976,14.7254,1.5534,9608000,1.2599,2.971
DM CN Equity,DATAMETREX AI LTD,0,-1977104,23731624,16.2507,0.5148,-11389795,-45.4304,-15.3521
DATA DC Equity,DATAPROCES GROUP A/S,7500000,-123000,45516000,7.136,1.0395,1276000,0.812,11.892
DTRK US Equity,DATATRAK INTERNATIONAL INC,0,-26561,8228165,0,0,-90046,-1.0865, 
DVLT US Equity,DATAVAULT AI INC,7456000,-50000,4823000,13.1868,1.1226,-21457000,-308.2151,-55.9265
DATS US Equity,DATCHAT INC,1351415,-49485,6506543,1.286,15.683,-8784031,-85.6766,-13.34
DATA IM Equity,DATRIX SPA, ,0,34452844,9.353,1.4113,-3483294,-10.7083,0.811
DAY US Equity,DAYFORCE INC, ,-114400000,9010899968,13.8099,1.1163,133100000,0.6272,1.4699
DBA IM Equity,DBA GROUP SPA, ,-1601151,75622752,22.8189,1.2682,7912072,5.6696,2.9009
DLAD US Equity,DEALERADVANCE INC,65930,0,97801,5663.1426,0.0076,-2095156.875,-2738.6521, 
ACT DC Equity,DECIDEACT A/S,0, ,28826420,32.4885,1.0584,-18708192,-68.2033, 
DECN US Equity,DECISION DIAGNOSTICS CORP,0,0,4141465,59.5471,1.2889,-2701932,-70.4427,-7.2219
DPFD US Equity,DEEP FIELD TECHNOLOGIES-CL A, ,0,8680,7634.7925,0.006,-701619,-1116.5753, 
DSAI CN Equity,DEEPSPATIAL INC,129120, ,1188780,53.9156, ,-1464926,-106.6592, 
DFDV US Equity,DEFI DEVELOPMENT CORP,792131,-29049,6683825,0.9974,7.8392,-3404892,-84.1268,2.5365
