Ticker,Name,Tot Assets:2024,Tot Assets:2023,Tot Assets:2022,Tot Assets:2021,Tot Assets:2020,Tot Assets:2019,Tot Assets:2018,Tot Assets:2017,Tot Assets:2016
ADGO US Equity,ADVANTEGO CORP, , , , , ,9538,195386,38041,46111
ADVE SS Equity,ADVENICA AB,225860000,183936000,178960992,126864000,100322000,80470000,82457000,120667000,97424000
AEHR US Equity,AEHR TEST SYSTEMS,127912000,98143000,62328000,21665000,20574000,21307000,30955000,30892000,10046000
ALMU US Equity,AELUMA INC,3844047,7163841, , ,154190,206, , , 
AERT US Equity,AERIES TECHNOLOGY INC, , ,235076816,233526976, , , , , 
AERS US Equity,AERIUS INC, , , , , , , , , 
AMEN SM Equity,AETERNAL MENTIS,23687458,32978394,31152150,33533712, , , , , 
ATHR US Equity,AETHER HOLDINGS INC,719441,116275, , , , , , , 
AFRN LN Equity,AFERIAN PLC,34843000,52016000,125222000,137796992,122522000,120883000,110909000,99528000,74739000
AFFN US Equity,AFFINITY NETWORKS INC, , , , , , , , , 
AFTM US Equity,AFTERMASTER INC, , , , , ,1093447,1150762,1494326,1993456
AGET CN Equity,AGEDB TECHNOLOGY LTD, ,214075,142450,150000, , , , , 
AGIL SM Equity,AGILE CONTENT SA,126252744,129292184,118159920,121081816,68914352,25196084,17010566,16320789,20032270
AGILQ US Equity,AGILETHOUGHT INC, , ,215239008,221310000,81257600,81087944, , , 
AGILC DC Equity,AGILLIC A/S,44186000,47171000,52775000,61598000,63842000,37786000,47380000,35818384,30793832
AGYS US Equity,AGILYSYS INC,350430016,243036000,214162000,189872992,154562000,163591008,157207008,167304992,185156992
AIFORIA FH Equity,AIFORIA TECHNOLOGIES OYJ,28376000,28191000,35336000,43868000,5268000,4238000,5580000, , 
AINO SS Equity,AINO HEALTH AB,113176784,13514000,17334000,19018000,33376000,29408000,38068000,31387000, 
AIRG US Equity,AIRGAIN INC,48443000,42229000,54400000,66390000,54927000,54726000,52907112,56297908,56063504
IQ CN Equity,AIRIQ INC,9108000,8437000,4557000,3908000,4053000,2611000,2479000,2126000,1970000
AISP US Equity,AIRSHIP AI HOLDINGS INC,13707454,6982575,329414112,326072416, , , , , 
AISX CN Equity,AISIX SOLUTIONS INC,367541,1002813,1519864,3736260,1866288,4648231,7139270,99983, 
AIXIAB SS Equity,AIXIA GROUP AB,75648000,51678000,49506000,41076000,29291000,36399000,24051000,18041000,12290000
AIXA GR Equity,AIXTRON SE,1018387008,1029945984,902577024,740696000,590425984,562960000,538860992,455116992,436233984
AKAM US Equity,AKAMAI TECHNOLOGIES INC,10368785408,9900037120,8303399936,8138673152,7764129792,7006885888,5461770240,4648915968,4373146112
AKTSQ US Equity,AKOUSTIS TECHNOLOGIES INC,69741000,148916992,161338000,124994000,71433000,47949000,29307916,18092316,3087384
ALMY US Equity,ALCHEMY CREATIVE INC, , , , , , , , , 
ALFA LN Equity,ALFA FINANCIAL SOFTWARE HOLD,84700000,75100000,76500000,84000000,95492000,117892000,88537000,72317000,114476000
ALFIQ US Equity,ALFI INC, , , ,11373005,1560665,1033159, , , 
ALFO IM Equity,ALFONSINO SPA,5397552,5326208,6740358,6167309,1974435,408030, , , 
RIME US Equity,ALGORHYTHM HOLDINGS INC,18302000,16648597,22665854,16761911,16601137,12193145,12668826,11636583,10461609
ALHC US Equity,ALIGNMENT HEALTHCARE INC,782062976,591880000,633862976,630894976,338502016,193443008, , , 
ALYA CN Equity,ALITHYA GROUP INC-CLASS A,416496992,464100992,447720992,243260992,257816000,236868992,115875000, , 
ALKT US Equity,ALKAMI TECHNOLOGY INC,437276992,399824992,488884992,436510016,249166000,52734000, , , 
A1OS GR Equity,ALL FOR ONE GROUP SE,343115008,341652000,339864992,264947008,250704000,199502000,183175008,168726000,155788992
ATMH US Equity,ALL THINGS MOBILE ANALYTIC, ,18081,409952, , , , , , 
ADGL US Equity,ALLDIGITAL HOLDINGS INC, , , , , , , , , 
ALGM US Equity,ALLEGRO MICROSYSTEMS INC,1530603008,1181154944,892620032,747678016,817820992,752260992, , , 
AEIN GR Equity,ALLGEIER SE,470676992,524755008,513295008,484988992,243903008,586980992,535937984,337944000,344433984
ADSV US Equity,ALLIED SECURITY INNOVATIONS, , , , , , , , , 
AIW IM Equity,ALMAWAVE SPA,126915000,118144000,100672000,70272000,49336000,44286000,36709000, , 
AOSL US Equity,ALPHA & OMEGA SEMICONDUCTOR,1145012992,1199736960,1298628992,918572992,792939008,739393984,667049024,398408000,318504992
AMOD US Equity,ALPHA MODUS HOLDINGS INC,1702519,121809,244853424,242942176, , , , , 
AWE LN Equity,ALPHAWAVE IP GROUP PLC,1069400000,866585024,903350016,568276992,51706000,14234000, , , 
NPA/H CN Equity,ALPHINAT INC,515971,543481,631080,658140,553985,289537,285358,527664,399798
ALC SM Equity,ALTIA CONSULTORES SA,167173696,153157536,143616928,85084808,81830624,55361296,50439896,45406180,40674928
ATGN US Equity,ALTIGEN COMMUNICATIONS INC, , ,17705000,17137000, ,15137000,14362000, ,5090000
ALT LN Equity,ALTITUDE GROUP PLC,14495000,13863000,11287000,11093000, , ,5939000,7076000,2978000
AHIX US Equity,ALUF HOLDINGS INC, , , , , , , , , 
ALAMA FP Equity,AMA CORP PLC,9170000,12753000,13648000,38223000,17550000,11750000, , , 
AMBA US Equity,AMBARELLA INC,657654976,710195008,657545024,573280000,527276000,466852992,546649024,512271008,410615008
DOX US Equity,AMDOCS LTD,6386142208,6425653248,6390392832,6511774208,6341621248,5292826112,5347814912,5279379968,5331355136
AMTM US Equity,AMENTUM HOLDINGS INC,11973999616,6412953088, , , , , , , 
ADHC US Equity,AMERICAN DIVERSIFIED HOLDING, , , , , , , , , 
AGIN US Equity,AMERICAN GRAPHITE TECHNOLOGI, , , , , , , , , 
AMWK US Equity,AMERISTAR NETWORK INC, , , , , , , , , 
ATVK US Equity,AMERITEK VENTURES,7185283, , , , , ,40578,0,0
AMT CN Equity,AMERITRUST FINANCIAL TECHNOL,12619067,6864855,17234820,20410982,13839168,9062593, , , 
AMST US Equity,AMESITE INC,3314177,6349752,8883860,12476833,5704673,2175963, ,17655, 
AMIDO SS Equity,AMIDO AB,42753000,49289128,63211568,73354592,32128000,34485904,14007000,7644000,4496000
AMJT US Equity,AMJ GLOBAL TECHNOLOGY, , , , , , , , , 
AMKR US Equity,AMKOR TECHNOLOGY INC,6944328192,6771125248,6821756928,6038554112,5022310912,4695614976,4495447040,4508387840,4092086016
AMPG US Equity,AMPLITECH GROUP INC,43220480,31407628,36679632,35227188,2811512,3360414,1407840,665524,782581
AMPL US Equity,AMPLITUDE INC-CLASS A,445911008,433684000,413755008,400388000,175082000,113241000, , , 
AMS SW Equity,AMS-OSRAM AG,6902000128,7401999872,8833000448,9644000256,9962999808,4433412096,3584534016,3261315072,1422988032
ASYS US Equity,AMTECH SYSTEMS INC,118953000,137020992,133534000,116913000,102098000,126477000,149406000,191623008,118430000
ADI US Equity,ANALOG DEVICES INC,48228278272,48794476544,50302349312,52322070528,21468602368,21392640000,20438366208,21141293056,7970277888
ALY CN Equity,ANALYTIXINSIGHT INC,4057366,4143696,7383605,10936215,5581778,5546267,5096567,5751180,1822605
ANDI US Equity,ANDIAMO CORP, , , , , , , , , 
ANDR US Equity,ANDREA ELECTRONICS CORP, , ,877881,1138444,1209904,1289471,1519008,1955917,3709601
ANKM US Equity,ANKAM,178708, ,446030,10877,184,15,177, , 
ANON CN Equity,ANONYMOUS INTELLIGENCE COMPA,1497247,3743869,6891623,8449287,58144,348656,298385,390036,517313
ANOT SS Equity,ANOTO GROUP AB,145128000,143615008,238732000,239075008,225056000,306483008,284343008,399608992,389291008
ANSS US Equity,ANSYS INC,8051430912,7322874880,6687945216,6324314112,5940590080,4838886912,3265964032,2941623040,2800526080
ATEX US Equity,ANTERIX INC,324894016,278558016,278044000,253055008,267396992,196752992,220340000,245486000,274048960
AAQL US Equity,ANTIAGING QUANTUM LIVING INC,1012410,894,15123, ,131471,32865,25791, , 
ATSI SM Equity,APLICACIONES Y TRATAMIENTOS,100298272,60507444,53196056, , ,25056688,22710436,17098816,14002644
APPF US Equity,APPFOLIO INC - A,626678016,408888992,381216992,408016992,389480000,260102000,175740992,110248000,92583000
APPN US Equity,APPIAN CORP-A,621038976,627502976,594214016,504519008,512520992,371484992,233180000,161052000,102738000
AAPL US Equity,APPLE INC,364980011008,352582991872,352754991104,351002001408,323887988736,338515984384,365724991488,375319003136,321686011904
AMAT US Equity,APPLIED MATERIALS INC,34409000960,30729000960,26726000640,25824999424,22353000448,19023998976,17632999424,19419000832,14570000384
AAOI US Equity,APPLIED OPTOELECTRONICS INC,547032000,389185984,408263008,454459008,480804992,466824992,466840000,452948000,322318016
AUVIQ US Equity,APPLIED UV INC, ,58386232,32727428,38525992, ,4769387,3111982, , 
ALDS US Equity,APPLIFE DIGITAL SOLUTIONS IN,161691,158264,261471,333061,525382,580347,121490, , 
ASFT US Equity,APPSOFT TECHNOLOGIES INC,101,8,5,325,213,629,1056,68955,91371
APTR SS Equity,APPSPOTR AB,23670000,6172000,17911000,44677000,24133000,21192000,14885111,9475545,4229193
SWRM US Equity,APPSWARM INC, , , , , , , , , 
APTY US Equity,APT SYSTEMS INC, , , , , , , , ,12462
APTD LN Equity,APTITUDE SOFTWARE GROUP PLC,114783000,119413000,118192000,117245000,88210000,81151000,116624000,110826000,83419000
AHCD US Equity,ARCHIVALCD INC, , , , , , , , , 
ALJXR FP Equity,ARCHOS,24358000,26138000,19382000,24054000,19784000,30317000,69856000,97499000,107347000
ARC LN Equity,ARCONTECH GROUP PLC,10560743,9033357,8776056,8570584,8039881,6484273,5665025,4702695,3800207
ARGEO NO Equity,ARGEO ASA,99310000,71601000,32805000,19001628,3256456.5,651122.625, , , 
ARGH CN Equity,ARGO CORP,20811816,25702284,32033278,29532876,27901660,5842021,200497, , 
ANET US Equity,ARISTA NETWORKS INC,14043921408,9956634624,6775410176,5734429184,4738918912,4185289984,3081982976,2460859904,1729006976
ARLO US Equity,ARLO TECHNOLOGIES INC,298400000,285537984,272200992,347489984,413968000,542712000,595945984,269820000,158580992
ARM US Equity,ARM HOLDINGS PLC-ADR,7927000064,6865999872,6510000128, , , , , , 
ARMM US Equity,ARMM INC, , , , ,622598,359131,39143, , 
ARQQ US Equity,ARQIT QUANTUM INC,26719000,99785000,123872000,113725664, , , , , 
3664 TT Equity,ARRAY INC,1020310016,800531008,723699968,782113984,944924032,1087869952,1084391936,1055734016,1487670016
ARR NO Equity,ARRIBATEC GROUP ASA,442251008,501544992,515361984,552028992,411136960,6114000,25474000,41424000,9927000
ARAI US Equity,ARRIVE AI INC,987788,619601,2533493, , , , , , 
ARW US Equity,ARROW ELECTRONICS INC,21757706240,21726167040,21763182592,19535540224,17053911040,16400795648,17784444928,16459267072,14206365696
A6T GR Equity,ARTEC TECHNOLOGIES AG,4229674.5,3315992,3280639.5,4464288.5,4610490.5,3936133.75,4144893.25,3507942.5,3863984.25
AIP US Equity,ARTERIS INC,106135000,102801000,115516000,120443000,42736000,26823000, , , 
ARWY CN Equity,ARWAY CORP,235188,344121,1, , , , , , 
TLIK GR Equity,ARZNEIWERK AG VIDA, ,11815000,14356000,3034000,1176612.5,2777127.25,1448000,1963000,1203000
ASAN US Equity,ASANA INC - CL A,961960000,954963008,707035008,731118976,421692000,113749000, , , 
ASB PW Equity,ASBISC ENTERPRISES PLC,1200811008,1012478016,1063526016,923187008,788912000,632787008,503800992,523923040,415485600
ASCN SW Equity,ASCOM HOLDING AG-REG,189900000,197200000,201800000,194700000,203100000,214200000,218400000,229600000,225100000
ASTK DC Equity,ASETEK A/S,79363000,102739000,78616000,75354000,71393000,54105000,51398000,49176000,41164000
ASGN US Equity,ASGN INC,3428999936,3544600064,3585700096,3502799872,3278000128,2941400064,2687851008,1810129024,1752667008
ASM NA Equity,ASM INTERNATIONAL NV,5161920000,4226726912,3750789120,2711088128,2229938944,2175139072,1847971968,2177201920,2148262912
ASML NA Equity,ASML HOLDING NV,48589598720,39957499904,36300398592,30230999040,27267399680,22629599232,20136900608,18188900352,17205960704
ACG1V FH Equity,ASPOCOMP GROUP OYJ,28410000,26193000,31433000,31508000,26953000,29527000,25833000,17504000,15745000
APYI US Equity,ASPYRA INC, , , , , , , , , 
ASY FP Equity,ASSYSTEM,648499968,826300032,739400000,724600000,675400000,717100032,646700032,590000000,717699968
ALAB US Equity,ASTERA LABS INC,1054508032,196292000,211731008, , , , , , 
ASTO US Equity,ASTRO COMMUNICATIONS INC, , , , , , , , , 
ALOT US Equity,ASTRONOVA INC,133251000,139207008,114955000,115473000,116664000,118983000,122313000,83665000,77963000
ASUR US Equity,ASURE SOFTWARE INC,436638016,443868000,419908000,433142016,514001984,320067008,361100000,203311008,85823000
ATEA NO Equity,ATEA ASA,21109000192,18634999808,17858000896,16048000000,16583999488,14956999680,14778000384,14915000320,13456000000
ATEME FP Equity,ATEME SA,118457000,108045000,101535000,93153000,93472000,57135000,44275000,38901000,28468000
ATYG US Equity,ATLAS TECHNOLOGY GROUP INC, , , , , , , , , 
ATOM US Equity,ATOMERA INC,29124000,24029000,26729000,36060000,39395000,15240000,19357000,17807000,26879000
ATO FP Equity,ATOS SE,8246000128,11294000128,16394000384,16819000320,18126999552,18648999936,21575999488,13484000256,13400299520
AOF GR Equity,ATOSS SOFTWARE SE,143164864,114398696,90340840,81453984,67953104,58079672,47150092,38527576,34029056
AUB FP Equity,AUBAY,470772992,457558016,445804992,416184992,381760000,372944992,326696000,302967008,263270000
AUUD US Equity,AUDDIA INC,5298328,4403048,6111526,9634133,2311768,1860639,1704949, , 
AEYE US Equity,AUDIOEYE INC,29766000,25495000,24428000,29313000,18254000,9152243,9104079,5034388,4488600
3ITN GR Equity,AUDIUS SE,38140364,36666408,37428088,29051128,27192510,7266806.5,8038964,6801434,8517464
ATS AV Equity,AUSTRIA TECHNOLOGIE & SYSTEM,4674896896,4161863936,3746323968,2389961984,1853510016,1784105984,1530439040,1436694016,1344649984
ACAG GA Equity,AUSTRIACARD HOLDINGS AG,331592992,321688000,270203008,226385072,181407008,191432992, , , 
AHRO US Equity,AUTHENTIC HOLDINGS INC,4491703,5418043,711679,173882,361918,491116,51734,42363,59703
AUID US Equity,AUTHID INC,14471377,15411913,9374185,13830009,13874446,13537415,18143748,17029244, 
ADSK US Equity,AUTODESK INC,9912000512,9438000128,8606799872,7279799808,6179299840,4729200128,4113600000,4798099968,5515299840
AATC US Equity,AUTOSCOPE TECHNOLOGIES CORP,19173000,25647000,21100000,22367000,21424000,19183000,13484000,11128000,8204000
AUTO NO Equity,AUTOSTORE HOLDINGS LTD,2026000000,2131800064,2040999936,2128999936,2054200064,2010099968, , , 
AV2 GR Equity,AVEMIO AG, , ,166280.2656,179968.0781,160846.125,256110.8438, , , 
AVEN SS Equity,AVENSIA AB,220096992,198262000,182780992,178404992,166899008,151120000,100371000,68925000,47582000
AVPT US Equity,AVEPOINT INC,519055008,442582016,415532992,388737984,169054000,98078000, , , 
AVNW US Equity,AVIAT NETWORKS INC,535223008,363136992,323904000,297652992,179800992,169192992,156060992,152576000,166111008
AVDX US Equity,AVIDXCHANGE HOLDINGS INC,2089710976,2483737088,2211995904,2266302976,726510272,573856064, , , 
AVSR US Equity,AVISTAR COMMUNICATIONS CORP, , , , , , , , , 
AVIX US Equity,AVIX TECHNOLOGIES INC, , , , , , , , , 
AVT US Equity,AVNET INC,12209146880,12477159424,10388532224,8925421568,8105197056,8564555776,9596845056,9699589120,11239804928
AVSALT SS Equity,AVSALT GROUP AB,7216000,234015,18982582,5902204,2934841,1118397,281095,172483, 
AWRE US Equity,AWARE INC/MASS,42644000,46296000,51192000,48373000,51628000,57555000,66441000,63936000,61984000
ACLS US Equity,AXCELIS TECHNOLOGIES INC,1348781056,1281966976,1013641024,753240000,624624000,548094016,548441024,488217984,302231008
AXTI US Equity,AXT INC,339313984,358700992,370072000,332440992,298862016,223348992,223524000,211200000,154246000
AIX NO Equity,AYFIE GROUP AS,21612000,10503000,28551000,60831000,77381000,58936000,67362000, , 
BEC IM Equity,B&C SPEAKERS SPA,87264264,86348016,80008816,63761508,52963024,52281300,45406444,43051192,31391480
DTD2 GR Equity,B+S BANKSYSTEME AG,26217000,25087000,25190000,26919000,28477000,23235000,25015000,22581000,22329000
SCDA US Equity,B-SCADA INC, , , , , , , , , 
B3 SS Equity,B3 CONSULTING GROUP AB,885299968,632600000,622982016,559720000,512204000,521992992,425740000,349396000,256500000
BLZE US Equity,BACKBLAZE INC-A,168558000,131687000,152458000,163580992,54469000,38626000, , , 
AO9 GR Equity,BACKBONE TECHNOLOGY AG-BR, , ,2793356.25,2662395.75,2680490.75, ,2334768.5, ,2216393.75
BP/H CN Equity,BACKSTAGEPLAY INC,134079.9219,22821.2305,61738.3594,376963.4063,69244.9844,42369.3945,86891.5156,804817.625,119878.8125
BUSER SS Equity,BAMBUSER AB,261383008,374375008,676849024,869622016,380179008,25716440,11788499,34559000,18295572
BAND US Equity,BANDWIDTH INC-CLASS A,989166016,1101048064,929318016,1065539008,890608000,341416000,150420000,104494000,69973000
BO DC Equity,BANG & OLUFSEN A/S,2296999936,2384999936,2518000128,2276000000,1776000000,2462000128,2920999936,2847399936,2831800064
BGO LN Equity,BANGO PLC, ,69673000,71539000,42128000,36901384,25580348,25187194,18891080,17466688
BAR BB Equity,BARCO N.V.,1228856064,1159415040,1147405056,1104248960,1018203008,1174173952,1047300992,1064995968,1159230976
BRGS US Equity,BARRISTER GLOBAL SVCS NTWK, , , , , , , , , 
BSL GR Equity,BASLER AG,233588992,255755008,265527008,227279008,190132000,181210000,138954000,117720000,90350000
BSSP US Equity,BASSLINE PRODUCTIONS INC, , , , , , , , , 
BESI NA Equity,BE SEMICONDUCTOR INDUSTRIES,1234476032,896553024,1135190016,1144040960,911356032,696880000,772689024,874953024,587569024
BEAMMWB SS Equity,BEAMMWAVE-B AB,87347792,60068400,75521592,36051764,6208161, , , , 
BC8 GR Equity,BECHTLE AG,4217281024,3803188992,3447872000,3019768064,2687116032,2394667008,2027164032,1443384064,1269337984
BKS LN Equity,BEEKS FINANCIAL CLOUD GROUP,49498000,47443000,44747000,22876000,16834000,8247000,6795000,2318000,1666000
BHE US Equity,BENCHMARK ELECTRONICS INC,2139463936,2274755072,2227331072,1903879936,1744235008,1759874048,1899783040,2109304064,1998668032
BSY US Equity,BENTLEY SYSTEMS INC-CLASS B,3399806976,3319849984,3165005056,2659243008,1126034944,994598976,923596032, , 
BSS GR Equity,BETA SYSTEMS SOFTWARE AG,75906000,63803000,120707000,111832000,105941000,87038000,67427000,72436000,68124000
SCBTT SM Equity,BETTER CONSULTANTS SA,2421542912,1145384704, , , , , , , 
BEW CN Equity,BEWHERE HOLDINGS INC,12283607,9771526,8712386,5657208,5640195,6989004,4827438,4608325,2329660
BYOC US Equity,BEYOND COMMERCE INC, , , , , , , , , 
BOIL CN Equity,BEYOND OIL LTD,10511895,5642030.5,6482261,2697115,66555,335000, , , 
BIG LN Equity,BIG TECHNOLOGIES PLC,143936992,134958000,113170000,83141000,49154000,40419000,23215000, , 
BBAI US Equity,BIGBEAR.AI HOLDINGS INC,343776000,199910000,195308000,383321984,380653, , , , 
BIG FP Equity,BIGBEN INTERACTIVE,650915968,657641984,617299008,536134016,440708992,291948992,223802000,207442000,203383008
BIGC US Equity,BIGCOMMERCE HOLDINGS-SER 1,340288992,444057984,474056000,555459968,276625984,56064000,59104000, , 
BIGG CN Equity,BIGG DIGITAL ASSETS INC,231668448,124189056,67402624,154397456,29589588,8955246, , , 
BSGC US Equity,BIGSTRING CORP, , , , , , , , , 
BILL US Equity,BILL HOLDINGS INC,9178813440,9636018176,9256026112,5969172992,2404015104,1526297984,1029283008, , 
MA10 GR Equity,BINECT AG,14395025,12234269,11572973,9954234,8445102,8134894.5, ,16450680,30005022
VISN/H CN Equity,BINOVI TECHNOLOGIES CORP, , ,1083992,12179579,3470574,4900261,1679663,2267268,2596593
BKYI US Equity,BIO-KEY INTERNATIONAL INC,8615560,4517035,11344255,17769040,22520572,2496698,11692332,16078822,17289364
BIOEX SS Equity,BIOEXTRAX AB,28996000,22515000,37917000,12640838,3033894,1738000,1719000,468000,110000
BRGX US Equity,BIOREGENX INC,508535,865750,59149,127762,367700,91760,61628, , 
BTGN US Equity,BITCOIN GENERATION INC, , , , , , , , , 
BITTI FH Equity,BITTIUM OYJ,165140000,157659008,169656000,166150000,158032992,154250000,132404000,138387008,153292000
BKTI US Equity,BK TECHNOLOGIES CORP,51499000,49408000,48832000,50385000,37490000,37940000,39191000,42801000,42544000
BBBT US Equity,BLACK BIRD BIOTECH INC, , , , , , , , , 
BLKB US Equity,BLACKBAUD INC,2495715072,2912279040,2992702976,2971617024,2044733952,1992962944,1615304960,1797846016,1310210048
BB CN Equity,BLACKBERRY LTD,1395000064,1679000064,2567000064,2817999872,3888000000,3968000000,3780000000,3296000000,5534000128
BIRD LN Equity,BLACKBIRD PLC,8422481,9902304,12528516,14720228,8294040,9864902,6139241,3096557,5545618
BL US Equity,BLACKLINE INC,1825036032,2100765056,1943655936,1817577984,1113505024,1014552000,493480992,460812992,420436992
BLN CN Equity,BLACKLINE SAFETY CORP,146879008,109120000,108049000,109302728,88609632,58733804,57885312,24352040,10849615
BZAI US Equity,BLAIZE HOLDINGS INC,80516000,72594376,296011456,293741152, , , , , 
BCDS US Equity,BLAQCLOUDS INC, , , , , , , , , 
BLND US Equity,BLEND LABS INC-A,178012000,206064992,432764000,1112486016,215744992,161300992, , , 
BITE CN Equity,BLENDER BITES LTD, ,4547447,1753440, ,470141,118742,945945, , 
BITK CN Equity,BLOCKCHAINK2 CORP,496112,1161747,1353634,1871301,2794918,2949656,3917160, ,206502
BDRL US Equity,BLONDER TONGUE LABORATORIES,9429000,11345000,15005000,11910000,11130000,18347000,15601000,15174000,15000000
BLMZ US Equity,BLOOMZ INC, , , , , , , , , 
BMIT MV Equity,BMIT TECHNOLOGIES PLC,74870000,80651000,25490000,25513000,25604000,23110000,13604000,15777000,15566000
BWLK CN Equity,BOARDWALKTECH SOFTWARE CORP,5098785,5116370.5,4975734.5,5629035,2037504,1586142.875, ,2748,3669
BOKU LN Equity,BOKU INC-REG S,406334016,376811008,290972992,216888992,225052000,141372000,106991000,106218000,75740000
BAH US Equity,BOOZ ALLEN HAMILTON HOLDINGS,6563687936,6550651904,6025574912,5499600896,4793966080,3831841024,3606618880,3373104896,3010170880
BOREF US Equity,BOREALIS EXPLORATION LTD, , , , , , , , , 
BRRN US Equity,BORN INC, , , , , , , , , 
BOUV NO Equity,BOUVET ASA,1800830976,1715753984,1444913024,1360241024,1295344000,1079453952,756556992,644088000,535916992
